BH/N,Longitude,Latitude,Limestone thickness (m),Overburden thickness(m)
BH 16,3.134,6.954166667,34,6
BH 19,3.12525,6.942305556,4,36
BH 13,3.131194444,6.949333333,30.4,9.6
BH 18,3.133416667,6.937527778,15.5,24.5
BH 5,3.130916667,6.934888889,6,34
BH 24,3.134583333,6.951388889,24.8,15.2
BH 1,3.136,6.958694444,26.4,13.9
BH 9,3.127222222,6.947777778,27.1,13.1
BH 21,3.1315,6.954277778,22.5,17.5
BH 22,3.133222222,6.951555556,26,10
BH 12,3.132222222,6.951,34.1,6.2
BH 20,3.128666667,6.956916667,25,15
BH 11,3.127222222,6.951388889,32.5,7.8
BH 8,3.13,6.947444444,25.3,15.1
BH 14,3.130361111,6.951666667,31.2,8
BH 15,3.135083333,6.955194444,25.4,14.7
BH 10,3.1275,6.949444444,32.1,8.1
BH 3,3.133388889,6.941722222,31.9,8.5
BH 2,3.135833333,6.958611111,26.8,13.4
BH 25,3.135277778,6.951305556,25.5,14.5
BH 17,3.135555556,6.945833333,18,22
BH 23,3.133377778,6.948888889,25,15
BH 6,3.128333333,6.945833333,26,14.3
