BH/N,SAMPLEID,SiO2,TiO2,Al2O3,MnO,Fe2O3,P2O5,MgO,CaO,Na2O,K2O,SO3,Cal. CaO3,LOL,Total,SG
BH 16,16m,2.17,0.12,1.6,0.04,1.42,<0.01,1.13,50.1,1.22,0.09,-,89.24,42.02,100,2.62
BH 19,39m,2.56,0.15,1.54,0.06,1.58,<0.01,1.09,48.94,1.34,0.07,-,87.43,42.66,99.99,2.6
BH 13,28m,2.59,0.17,1.39,0.04,1.49,<0.01,1.16,49.07,1.4,0.05,-,87.57,42.64,100,2.65
BH 18,29m,3.6,0.12,1.27,0.03,1.11,<0.01,0.99,48.43,1.64,0.05,-,86.42,42.76,100,2.65
BH 5,37m,2.8,0.14,1.14,0.02,1.04,<0.01,1.18,49.58,1.45,0.08,-,86.69,43.07,100,2.62
BH 24,22m,2.55,0.19,1.41,0.05,1.6,<0.01,1.14,49.04,1.3,0.06,-,87.52,42.64,99.98,2.65
BH 1,26m,10.5,0.14,1.68,0.03,1.25,<0.01,0.29,47.08,1.07,0.08,-,84.01,37.86,99.98,2.68
BH 9,16m,2.19,0.16,1.58,0.02,1.06,<0.01,1.17,49.03,1.43,0.06,-,87.49,43.3,100,2.49
BH 21,13m,3.03,0.15,1.6,0.05,1.38,<0.01,0.98,48.54,1.74,0.08,-,86.15,42.43,99.98,2.54
BH 22,20m,2.05,0.12,1.65,0.05,2.16,<0.01,0.66,48.92,1.36,0.11,-,87.3,42.79,99.97,2.57
BH 12,24m,7.43,0.12,1.71,0.04,1.27,<0.01,0.51,47.75,1.09,0.08,-,85.21,40,100,2.58
BH 20,16m,14.08,0.15,1.64,0.01,1.36,<0.01,0.35,44.73,1.59,0.08,-,79.82,36.01,100,2.67
BH 11,15m,2.91,0.15,1.59,0.03,1.07,<0.01,1.15,48.31,1.44,0.07,-,86.21,43.28,100,2.61
BH 8,20m,2.87,0.14,1.52,0.04,1.06,<0.01,1.17,48.66,1.42,0.08,-,86.84,43.04,100,2.64
BH 14,19m,3.01,0.14,1.6,0.06,1.37,<0.01,0.99,48.35,1.71,0.07,-,86.28,42.68,99.98,2.51
BH 15,25m,19.3,0.2,1.79,0.03,1.18,<0.01,0.33,39.78,1.9,0.06,-,70.99,35.43,100,2.61
BH 10,25m,2.57,0.15,1.55,0.07,1.57,<0.01,1.09,48.96,1.33,0.07,-,87.37,42.64,100,2.6
BH 3,18m,2.6,0.16,1.4,0.04,1.48,<0.01,1.15,48.78,1.4,0.05,-,87.05,42.94,100,2.64
BH 2,15m,3.01,0.15,1.61,0.04,1.39,<0.01,1.17,48.7,1.44,0.06,-,86.91,42.43,100,2.74
BH 25,19m,2.09,0.11,1.66,0.05,2.14,<0.01,0.64,49.28,1.37,0.1,-,87.94,42.56,100,2.52
BH 17,26m,2.06,0.12,1.62,0.04,2.12,<0.01,0.65,48.92,1.63,0.08,-,87.3,42.76,100,2.58
BH 23,16m,2.46,0.18,1.58,0.04,1.36,<0.01,0.91,48.2,1.72,0.07,-,86.03,43.47,99.99,2.46
BH 6,18m,2.53,0.18,1.4,0.05,1.61,<0.01,1.13,48.87,1.3,0.07,-,87.21,42.86,100,2.64
BH 4,22m,50.8,0.95,16.89,0.54,5.84,<0.21,1.62,4.2,2.02,1.09,0.96,7.49,14.88,100,2.34
BH 4,13m,50.73,0.88,17.28,0.01,6.64,0.19,1.61,3.98,1.47,1.08,0.95,7,15.18,100,2.35
